Location,Suburb,Postcode,State,Zone
SILVER SANDS 6210,Silver Sands,6210,Western Australia,Perth
SILVERDALE 2752,Silverdale,2752,New South Wales,Sydney
SILVERWATER 2128,Silverwater,2128,New South Wales,Sydney
SILVERWATER 2264,Silverwater,2264,New South Wales,Newcastle
SINAGRA 6065,Sinagra,6065,Western Australia,Perth
SINGLETON 2330,Singleton,2330,New South Wales,Newcastle
SINGLETON 6175,Singleton,6175,Western Australia,Perth
SINGLETON HEIGHTS 2330,Singleton Heights,2330,New South Wales,Newcastle
SINNAMON PARK 4073,Sinnamon Park,4073,Queensland,Brisbane
SIPPY DOWNS 4556,Sippy Downs,4556,Queensland,Sunshine Coast
SKENES CREEK 3233,Skenes Creek,3233,Victoria,Geelong
SKENES CREEK NORTH 3233,Skenes Creek North,3233,Victoria,Geelong
SKENNARS HEAD 2478,Skennars Head,2478,New South Wales,Northern Rivers
SKYE 3977,Skye,3977,Victoria,Melbourne
SKYE 5072,Skye,5072,South Australia,Adelaide
SLACKS CREEK 4127,Slacks Creek,4127,Queensland,Brisbane
SLADE POINT 4740,Slade Point,4740,Queensland,Mackay
SMEATON GRANGE 2567,Smeaton Grange,2567,New South Wales,Sydney
SMITHFIELD 2164,Smithfield,2164,New South Wales,Sydney
SMITHFIELD 4878,Smithfield,4878,Queensland,Cairns
SMITHFIELD 5114,Smithfield,5114,South Australia,Adelaide
SMITHFIELD PLAINS 5114,Smithfield Plains,5114,South Australia,Adelaide
SMITHFIELD WEST 2164,Smithfield West,2164,New South Wales,Sydney
SMITHFIELD WEST 5114,Smithfield West,5114,South Australia,Adelaide
SMITHS LAKE 2428,Smiths Lake,2428,New South Wales,Port Macquarie
SOLDIERS HILL 3350,Soldiers Hill,3350,Victoria,Geelong
SOLDIERS POINT 2317,Soldiers Point,2317,New South Wales,Newcastle
SOMERS 3927,Somers,3927,Victoria,Melbourne
SOMERSBY 2250,Somersby,2250,New South Wales,Central Coast
SOMERSET 7322,Somerset,7322,Tasmania,Launceston
SOMERTON 3062,Somerton,3062,Victoria,Melbourne
SOMERTON PARK 5044,Somerton Park,5044,South Australia,Adelaide
SOMERVILLE 3912,Somerville,3912,Victoria,Melbourne
SORELL 7172,Sorell,7172,Tasmania,Hobart
SORRENTO 3943,Sorrento,3943,Victoria,Melbourne
SORRENTO 6020,Sorrento,6020,Western Australia,Perth
SOUTH ALBURY 2640,South Albury,2640,New South Wales,Albury
SOUTH BATHURST 2795,South Bathurst,2795,New South Wales,Remote
SOUTH BINGERA 4670,South Bingera,4670,Queensland,Wide Bay
SOUTH BRIGHTON 5048,South Brighton,5048,South Australia,Adelaide
SOUTH BRISBANE 4101,South Brisbane,4101,Queensland,Brisbane
SOUTH BRISBANE BC 4101,South Brisbane BC,4101,Queensland,Brisbane
SOUTH BURNIE 7320,South Burnie,7320,Tasmania,Launceston
SOUTH COOGEE 2034,South Coogee,2034,New South Wales,Sydney
SOUTH END 4680,South End,4680,Queensland,Capricorn Coast
SOUTH FREMANTLE 6162,South Fremantle,6162,Western Australia,Perth
SOUTH GEELONG 3220,South Geelong,3220,Victoria,Geelong
SOUTH GLADSTONE 4680,South Gladstone,4680,Queensland,Capricorn Coast
SOUTH GOLDEN BEACH 2483,South Golden Beach,2483,New South Wales,Northern Rivers
SOUTH GRAFTON 2460,South Grafton,2460,New South Wales,Northern Rivers
SOUTH GRANVILLE 2142,South Granville,2142,New South Wales,Sydney
SOUTH GUILDFORD 6055,South Guildford,6055,Western Australia,Perth
SOUTH GUNDURIMBA 2480,South Gundurimba,2480,New South Wales,Northern Rivers
SOUTH HOBART 7004,South Hobart,7004,Tasmania,Hobart
SOUTH HURSTVILLE 2221,South Hurstville,2221,New South Wales,Sydney
SOUTH INNISFAIL 4860,South Innisfail,4860,Queensland,Cairns
SOUTH JOHNSTONE 4859,South Johnstone,4859,Queensland,Cairns
SOUTH KEMPSEY 2440,South Kempsey,2440,New South Wales,Port Macquarie
SOUTH KINGSVILLE 3015,South Kingsville,3015,Victoria,Melbourne
SOUTH KOLAN 4670,South Kolan,4670,Queensland,Wide Bay
SOUTH LAKE 6164,South Lake,6164,Western Australia,Perth
SOUTH LAUNCESTON 7249,South Launceston,7249,Tasmania,Launceston
SOUTH LISMORE 2480,South Lismore,2480,New South Wales,Northern Rivers
SOUTH MACKAY 4740,South Mackay,4740,Queensland,Mackay
SOUTH MAITLAND 2320,South Maitland,2320,New South Wales,Newcastle
SOUTH MELBOURNE 3205,South Melbourne,3205,Victoria,Melbourne
SOUTH MELBOURNE DC 3205,South Melbourne Dc,3205,Victoria,Melbourne
SOUTH MURWILLUMBAH 2484,South Murwillumbah,2484,New South Wales,Gold Coast
SOUTH NOWRA 2541,South Nowra,2541,New South Wales,Wollongong
SOUTH PENRITH 2750,South Penrith,2750,New South Wales,Sydney
SOUTH PERTH 6151,South Perth,6151,Western Australia,Perth
SOUTH PERTH ANGELO ST 6151,South Perth Angelo St,6151,Western Australia,Perth
SOUTH PLYMPTON 5038,South Plympton,5038,South Australia,Adelaide
SOUTH SPREYTON 7310,South Spreyton,7310,Tasmania,Launceston
SOUTH TAMWORTH 2340,South Tamworth,2340,New South Wales,Remote
SOUTH TOOWOOMBA 4350,South Toowoomba,4350,Queensland,Toowoomba
SOUTH TOWNSVILLE 4810,South Townsville,4810,Queensland,Townsville
SOUTH TREES 4680,South Trees,4680,Queensland,Capricorn Coast
SOUTH TURRAMURRA 2074,South Turramurra,2074,New South Wales,Sydney
SOUTH WENTWORTHVILLE 2145,South Wentworthville,2145,New South Wales,Sydney
SOUTH WHARF 3006,South Wharf,3006,Victoria,Melbourne
SOUTH WINDSOR 2756,South Windsor,2756,New South Wales,Sydney
SOUTH YARRA 3141,South Yarra,3141,Victoria,Melbourne
SOUTHBANK 3006,Southbank,3006,Victoria,Melbourne
SOUTHBROOK 4363,Southbrook,4363,Queensland,Toowoomba
SOUTHERN CROSS 4820,Southern Cross,4820,Queensland,Townsville
SOUTHERN LAMINGTON 4211,Southern Lamington,4211,Queensland,Gold Coast
SOUTHERN RIVER 6110,Southern River,6110,Western Australia,Perth
SOUTHLAND CENTRE 3192,Southland Centre,3192,Victoria,Melbourne
SOUTHPORT 4215,Southport,4215,Queensland,Gold Coast
SOUTHPORT BC 4215,Southport BC,4215,Queensland,Gold Coast
SOUTHPORT PARK 4215,Southport Park,4215,Queensland,Gold Coast
SOUTHSIDE 4570,Southside,4570,Queensland,Sunshine Coast
SOUTHTOWN 4350,Southtown,4350,Queensland,Toowoomba
SOVEREIGN HILL 3350,Sovereign Hill,3350,Victoria,Geelong
SPEARWOOD 6163,Spearwood,6163,Western Australia,Perth
SPEERS POINT 2284,Speers Point,2284,New South Wales,Newcastle
SPEEWAH 4881,Speewah,4881,Queensland,Cairns
SPENCE 2615,Spence,2615,Australian Capital Territory,Canberra
SPIT JUNCTION 2088,Spit Junction,2088,New South Wales,Sydney
SPLITTERS CREEK 2640,Splitters Creek,2640,New South Wales,Albury
SPOTSWOOD 3015,Spotswood,3015,Victoria,Melbourne
SPREYTON 7310,Spreyton,7310,Tasmania,Launceston
SPRING BLUFF 4352,Spring Bluff,4352,Queensland,Toowoomba
SPRING CREEK 2800,Spring Creek,2800,New South Wales,Remote
SPRING CREEK 4361,Spring Creek,4361,Queensland,Toowoomba
SPRING FARM 2570,Spring Farm,2570,New South Wales,Sydney
SPRING GULLY 3550,Spring Gully,3550,Victoria,Bendigo
SPRING HILL 2500,Spring Hill,2500,New South Wales,Wollongong
SPRING HILL 2800,Spring Hill,2800,New South Wales,Remote
SPRING HILL 4000,Spring Hill,4000,Queensland,Brisbane
SPRING HILL 4004,Spring Hill,4004,Queensland,Brisbane
SPRINGDALE HEIGHTS 2641,Springdale Heights,2641,New South Wales,Albury
SPRINGFIELD 2250,Springfield,2250,New South Wales,Central Coast
SPRINGFIELD 4300,Springfield,4300,Queensland,Brisbane
SPRINGFIELD 5062,Springfield,5062,South Australia,Adelaide
SPRINGFIELD CENTRAL 4300,Springfield Central,4300,Queensland,Brisbane
SPRINGFIELD LAKES 4300,Springfield Lakes,4300,Queensland,Brisbane
SPRINGRANGE 2618,Springrange,2618,New South Wales,Canberra
SPRINGVALE 2650,Springvale,2650,New South Wales,Albury
SPRINGVALE 3171,Springvale,3171,Victoria,Melbourne
SPRINGVALE SOUTH 3172,Springvale South,3172,Victoria,Melbourne
SPRINGWOOD 2777,Springwood,2777,New South Wales,Sydney
SPRINGWOOD 4127,Springwood,4127,Queensland,Brisbane
SQUEAKING POINT 7307,Squeaking Point,7307,Tasmania,Launceston
ST AGNES 5097,St Agnes,5097,South Australia,Adelaide
ST ALBANS 3021,St Albans,3021,Victoria,Melbourne
ST ALBANS PARK 3219,St Albans Park,3219,Victoria,Geelong
ST ANDREWS 2566,St Andrews,2566,New South Wales,Sydney
ST ANDREWS BEACH 3941,St Andrews Beach,3941,Victoria,Melbourne
ST CLAIR 2759,St Clair,2759,New South Wales,Sydney
ST CLAIR 5011,St Clair,5011,South Australia,Adelaide
ST GEORGES 5064,St Georges,5064,South Australia,Adelaide
ST HELENA 3088,St Helena,3088,Victoria,Melbourne
ST HELENS 4650,St Helens,4650,Queensland,Wide Bay
ST HELENS BEACH 4798,St Helens Beach,4798,Queensland,Mackay
ST HELENS PARK 2560,St Helens Park,2560,New South Wales,Sydney
ST HUBERTS ISLAND 2257,St Huberts Island,2257,New South Wales,Central Coast
ST IVES 2075,St Ives,2075,New South Wales,Sydney
ST IVES CHASE 2075,St Ives Chase,2075,New South Wales,Sydney
ST JAMES 6102,St James,6102,Western Australia,Perth
ST JOHNS PARK 2176,St Johns Park,2176,New South Wales,Sydney
ST KILDA 3182,St Kilda,3182,Victoria,Melbourne
ST KILDA 5110,St Kilda,5110,South Australia,Adelaide
ST KILDA EAST 3183,St Kilda East,3183,Victoria,Melbourne
ST KILDA ROAD CENTRAL 3004,St Kilda Road Central,3004,Victoria,Melbourne
ST KILDA ROAD MELBOURNE 3004,St Kilda Road Melbourne,3004,Victoria,Melbourne
ST KILDA SOUTH 3182,St Kilda South,3182,Victoria,Melbourne
ST KILDA WEST 3182,St Kilda West,3182,Victoria,Melbourne
ST LEONARDS 2065,St Leonards,2065,New South Wales,Sydney
ST LEONARDS 3223,St Leonards,3223,Victoria,Geelong
ST LEONARDS 7250,St Leonards,7250,Tasmania,Launceston
ST LUCIA 4067,St Lucia,4067,Queensland,Brisbane
ST LUCIA SOUTH 4067,St Lucia South,4067,Queensland,Brisbane
ST MARYS 2760,St Marys,2760,New South Wales,Sydney
ST MARYS 5042,St Marys,5042,South Australia,Adelaide
ST MARYS EAST 2760,St Marys East,2760,New South Wales,Sydney
ST MARYS SOUTH 2760,St Marys South,2760,New South Wales,Sydney
ST MORRIS 5068,St Morris,5068,South Australia,Adelaide
ST PAULS 2031,St Pauls,2031,New South Wales,Sydney
ST PETERS 2044,St Peters,2044,New South Wales,Sydney
ST PETERS 5069,St Peters,5069,South Australia,Adelaide
STAFFORD 4053,Stafford,4053,Queensland,Brisbane
STAFFORD DC 4053,Stafford DC,4053,Queensland,Brisbane
STAFFORD HEIGHTS 4053,Stafford Heights,4053,Queensland,Brisbane
STAKE HILL 6181,Stake Hill,6181,Western Australia,Perth
STANFORD MERTHYR 2327,Stanford Merthyr,2327,New South Wales,Newcastle
STANHOPE 3623,Stanhope,3623,Victoria,Bendigo
STANHOPE GARDENS 2768,Stanhope Gardens,2768,New South Wales,Sydney
STANHOPE SOUTH 3623,Stanhope South,3623,Victoria,Bendigo
STANLEY 3747,Stanley,3747,Victoria,Albury
STANMORE 2048,Stanmore,2048,New South Wales,Sydney
STANTHORPE 4380,Stanthorpe,4380,Queensland,Toowoomba
STANWELL PARK 2508,Stanwell Park,2508,New South Wales,Wollongong
STANWELL TOPS 2508,Stanwell Tops,2508,New South Wales,Wollongong
STAPYLTON 4207,Stapylton,4207,Queensland,Brisbane
STATION ARCADE 5000,Station Arcade,5000,South Australia,Adelaide
STEIGLITZ 4207,Steiglitz,4207,Queensland,Brisbane
STEPNEY 5069,Stepney,5069,South Australia,Adelaide
STIRLING 2611,Stirling,2611,Australian Capital Territory,Canberra
STIRLING 5152,Stirling,5152,South Australia,Adelaide
STIRLING 6021,Stirling,6021,Western Australia,Perth
STOCKLEIGH 4280,Stockleigh,4280,Queensland,Brisbane
STOCKRINGTON 2322,Stockrington,2322,New South Wales,Newcastle
STOCKTON 2295,Stockton,2295,New South Wales,Newcastle
STOCKWELL 5355,Stockwell,5355,South Australia,Adelaide
STONE WELL 5352,Stone Well,5352,South Australia,Adelaide
STONEHAVEN 3221,Stonehaven,3221,Victoria,Geelong
STONES CORNER 4120,Stones Corner,4120,Queensland,Brisbane
STONEVILLE 6081,Stoneville,6081,Western Australia,Perth
STONY RISE 7310,Stony Rise,7310,Tasmania,Launceston
STONYFELL 5066,Stonyfell,5066,South Australia,Adelaide
STRATFORD 4870,Stratford,4870,Queensland,Cairns
STRATHALLAN 3622,Strathallan,3622,Victoria,Bendigo
STRATHDALE 3550,Strathdale,3550,Victoria,Bendigo
STRATHDICKIE 4800,Strathdickie,4800,Queensland,Mackay
STRATHFIELD 2135,Strathfield,2135,New South Wales,Sydney
STRATHFIELD SOUTH 2136,Strathfield South,2136,New South Wales,Sydney
STRATHFIELDSAYE 3551,Strathfieldsaye,3551,Victoria,Bendigo
STRATHMORE 3041,Strathmore,3041,Victoria,Melbourne
STRATHMORE HEIGHTS 3041,Strathmore Heights,3041,Victoria,Melbourne
STRATHPINE 4500,Strathpine,4500,Queensland,Brisbane
STRATHPINE CENTRE 4500,Strathpine Centre,4500,Queensland,Brisbane
STRATTON 6056,Stratton,6056,Western Australia,Perth
STRAWBERRY HILLS 2012,Strawberry Hills,2012,New South Wales,Sydney
STRETTON 4116,Stretton,4116,Queensland,Brisbane
STROMLO 2611,Stromlo,2611,Australian Capital Territory,Canberra
STUART 4811,Stuart,4811,Queensland,Townsville
STUART PARK 0820,Stuart Park,0820,Northern Territory,Remote
STUARTS POINT 2441,Stuarts Point,2441,New South Wales,Port Macquarie
STUDFIELD 3152,Studfield,3152,Victoria,Melbourne
STUDIO VILLAGE 4210,Studio Village,4210,Queensland,Gold Coast
STURT 5047,Sturt,5047,South Australia,Adelaide
STURT STREET 5000,Sturt Street,5000,South Australia,Adelaide
SUBIACO 6008,Subiaco,6008,Western Australia,Perth
SUBIACO EAST 6008,Subiaco East,6008,Western Australia,Perth
SUCCESS 6164,Success,6164,Western Australia,Perth
SUFFOLK PARK 2481,Suffolk Park,2481,New South Wales,Northern Rivers
SUGARLOAF 4800,Sugarloaf,4800,Queensland,Mackay
SULPHUR CREEK 7316,Sulphur Creek,7316,Tasmania,Launceston
SUMMER HILL 2130,Summer Hill,2130,New South Wales,Sydney
SUMMER HILL 2287,Summer Hill,2287,New South Wales,Newcastle
SUMMERHILL 7250,Summerhill,7250,Tasmania,Launceston
SUMMERLAND POINT 2259,Summerland Point,2259,New South Wales,Central Coast
SUMNER 4074,Sumner,4074,Queensland,Brisbane
SUMNER PARK BC 4074,Sumner Park Bc,4074,Queensland,Brisbane
SUN VALLEY 2777,Sun Valley,2777,New South Wales,Sydney
SUN VALLEY 4680,Sun Valley,4680,Queensland,Capricorn Coast
SUNBURY 3429,Sunbury,3429,Victoria,Melbourne
SUNDOWN 4860,Sundown,4860,Queensland,Cairns
SUNNYBANK 4109,Sunnybank,4109,Queensland,Brisbane
SUNNYBANK HILLS 4109,Sunnybank Hills,4109,Queensland,Brisbane
SUNNYBANK SOUTH 4109,Sunnybank South,4109,Queensland,Brisbane
SUNRISE BEACH 4567,Sunrise Beach,4567,Queensland,Sunshine Coast
SUNSHINE 2264,Sunshine,2264,New South Wales,Newcastle
SUNSHINE 3020,Sunshine,3020,Victoria,Melbourne
SUNSHINE ACRES 4655,Sunshine Acres,4655,Queensland,Wide Bay
SUNSHINE BEACH 4567,Sunshine Beach,4567,Queensland,Sunshine Coast
SUNSHINE COAST MC 4560,Sunshine Coast Mc,4560,Queensland,Sunshine Coast
SUNSHINE NORTH 3020,Sunshine North,3020,Victoria,Melbourne
SUNSHINE PLAZA 4558,Sunshine Plaza,4558,Queensland,Sunshine Coast
SUNSHINE WEST 3020,Sunshine West,3020,Victoria,Melbourne
SURFERS PARADISE 4217,Surfers Paradise,4217,Queensland,Gold Coast
SURREY DOWNS 5126,Surrey Downs,5126,South Australia,Adelaide
SURREY HILLS 3127,Surrey Hills,3127,Victoria,Melbourne
SURREY HILLS NORTH 3127,Surrey Hills North,3127,Victoria,Melbourne
SURREY HILLS SOUTH 3125,Surrey Hills South,3125,Victoria,Melbourne
SURRY HILLS 2010,Surry Hills,2010,New South Wales,Sydney
SUSAN RIVER 4655,Susan River,4655,Queensland,Wide Bay
SUTHERLAND 2232,Sutherland,2232,New South Wales,Sydney
SUTTON FOREST 2577,Sutton Forest,2577,New South Wales,Wollongong
SUTTON GRANGE 3448,Sutton Grange,3448,Victoria,Bendigo
SVENSSON HEIGHTS 4670,Svensson Heights,4670,Queensland,Wide Bay
SWAN BAY 3225,Swan Bay,3225,Victoria,Geelong
SWAN BAY 7252,Swan Bay,7252,Tasmania,Launceston
SWAN CREEK 2462,Swan Creek,2462,New South Wales,Northern Rivers
SWAN ISLAND 3225,Swan Island,3225,Victoria,Geelong
SWAN POINT 7275,Swan Point,7275,Tasmania,Launceston
SWAN VIEW 6056,Swan View,6056,Western Australia,Perth
SWANBANK 4306,Swanbank,4306,Queensland,Brisbane
SWANBOURNE 6010,Swanbourne,6010,Western Australia,Perth
SWANSEA 2281,Swansea,2281,New South Wales,Newcastle
SWANSEA HEADS 2281,Swansea Heads,2281,New South Wales,Newcastle
SWINGER HILL 2606,Swinger Hill,2606,Australian Capital Territory,Canberra
SYDENHAM 2044,Sydenham,2044,New South Wales,Sydney
SYDENHAM 3037,Sydenham,3037,Victoria,Melbourne
SYDNEY 2000,Sydney,2000,New South Wales,Sydney
SYDNEY DOMESTIC AIRPORT 2020,Sydney Domestic Airport,2020,New South Wales,Sydney
SYDNEY INTERNATIONAL AIRPORT 2020,Sydney International Airport,2020,New South Wales,Sydney
SYDNEY MARKETS 2129,Sydney Markets,2129,New South Wales,Sydney
SYDNEY OLYMPIC PARK 2127,Sydney Olympic Park,2127,New South Wales,Sydney
SYDNEY SOUTH 2000,Sydney South,2000,New South Wales,Sydney
SYLVANIA 2224,Sylvania,2224,New South Wales,Sydney
SYLVANIA SOUTHGATE 2224,Sylvania Southgate,2224,New South Wales,Sydney
SYLVANIA WATERS 2224,Sylvania Waters,2224,New South Wales,Sydney
SYMONSTON 2609,Symonston,2609,Australian Capital Territory,Canberra
SYNDAL 3149,Syndal,3149,Victoria,Melbourne
TABLE CAPE 7325,Table Cape,7325,Tasmania,Launceston
TABLE TOP 2640,Table Top,2640,New South Wales,Albury
TACOMA 2259,Tacoma,2259,New South Wales,Central Coast
TACOMA SOUTH 2259,Tacoma South,2259,New South Wales,Central Coast
TAHMOOR 2573,Tahmoor,2573,New South Wales,Wollongong
TAIGUM 4018,Taigum,4018,Queensland,Brisbane
TAKURA 4655,Takura,4655,Queensland,Wide Bay
TALLAI 4213,Tallai,4213,Queensland,Gold Coast
TALLEBUDGERA 4228,Tallebudgera,4228,Queensland,Gold Coast
TALLEBUDGERA VALLEY 4228,Tallebudgera Valley,4228,Queensland,Gold Coast
TALLWOODS VILLAGE 2430,Tallwoods Village,2430,New South Wales,Port Macquarie
TALOFA 2481,Talofa,2481,New South Wales,Northern Rivers
TAMALA PARK 6030,Tamala Park,6030,Western Australia,Perth
TAMARAMA 2026,Tamarama,2026,New South Wales,Sydney
TAMBORINE 4270,Tamborine,4270,Queensland,Brisbane
TAMBORINE MOUNTAIN 4272,Tamborine Mountain,4272,Queensland,Gold Coast
TAMINDA 2340,Taminda,2340,New South Wales,Remote
TAMWORTH 2340,Tamworth,2340,New South Wales,Remote
TANAH MERAH 4128,Tanah Merah,4128,Queensland,Brisbane
TANAWHA 4556,Tanawha,4556,Queensland,Sunshine Coast
TANBY 4703,Tanby,4703,Queensland,Capricorn Coast
TANGALOOMA 4025,Tangalooma,4025,Queensland,Brisbane
TANILBA BAY 2319,Tanilba Bay,2319,New South Wales,Newcastle
TANNUM SANDS 4680,Tannum Sands,4680,Queensland,Capricorn Coast
TANUNDA 5352,Tanunda,5352,South Australia,Adelaide
TAPEROO 5017,Taperoo,5017,South Australia,Adelaide
TAPITALLEE 2540,Tapitallee,2540,New South Wales,Wollongong
TAPPING 6065,Tapping,6065,Western Australia,Perth
TARADALE 3447,Taradale,3447,Victoria,Bendigo
TARAMPA 4311,Tarampa,4311,Queensland,Remote
TARANGANBA 4703,Taranganba,4703,Queensland,Capricorn Coast
TAREE 2430,Taree,2430,New South Wales,Port Macquarie
TAREE SOUTH 2430,Taree South,2430,New South Wales,Port Macquarie
TAREN POINT 2229,Taren Point,2229,New South Wales,Sydney
TARINGA 4068,Taringa,4068,Queensland,Brisbane
TARLETON 7310,Tarleton,7310,Tasmania,Launceston
TARNEIT 3029,Tarneit,3029,Victoria,Melbourne
TAROOMBALL 4703,Taroomball,4703,Queensland,Capricorn Coast
TAROONA 7053,Taroona,7053,Tasmania,Hobart
TARRAGINDI 4121,Tarragindi,4121,Queensland,Brisbane
TARRAWANNA 2518,Tarrawanna,2518,New South Wales,Wollongong
TARRENGOWER 3463,Tarrengower,3463,Victoria,Bendigo
TARRO 2322,Tarro,2322,New South Wales,Newcastle
TASCOTT 2250,Tascott,2250,New South Wales,Central Coast
TATACHILLA 5171,Tatachilla,5171,South Australia,Adelaide
TATURA 3616,Tatura,3616,Victoria,Bendigo
TATURA EAST 3616,Tatura East,3616,Victoria,Bendigo
TAYLOR 2913,Taylor,2913,Australian Capital Territory,Canberra
TAYLORS BEACH 2316,Taylors Beach,2316,New South Wales,Newcastle
TAYLORS HILL 3037,Taylors Hill,3037,Victoria,Melbourne
TAYLORS LAKES 3038,Taylors Lakes,3038,Victoria,Melbourne
TE KOWAI 4740,Te Kowai,4740,Queensland,Mackay
TEA GARDENS 2324,Tea Gardens,2324,New South Wales,Newcastle
TEA TREE GULLY 5091,Tea Tree Gully,5091,South Australia,Adelaide
TELARAH 2320,Telarah,2320,New South Wales,Newcastle
TELEGRAPH POINT 2441,Telegraph Point,2441,New South Wales,Port Macquarie
TELINA 4680,Telina,4680,Queensland,Capricorn Coast
TELOPEA 2117,Telopea,2117,New South Wales,Sydney
TEMPE 2044,Tempe,2044,New South Wales,Sydney
TEMPLESTOWE 3106,Templestowe,3106,Victoria,Melbourne
TEMPLESTOWE LOWER 3107,Templestowe Lower,3107,Victoria,Melbourne
TENAMBIT 2323,Tenambit,2323,New South Wales,Newcastle
TENERIFFE 4005,Teneriffe,4005,Queensland,Brisbane
TENNYSON 4105,Tennyson,4105,Queensland,Brisbane
TENNYSON 5022,Tennyson,5022,South Australia,Adelaide
TENNYSON POINT 2111,Tennyson Point,2111,New South Wales,Sydney
TERALBA 2284,Teralba,2284,New South Wales,Newcastle
TERARA 2540,Terara,2540,New South Wales,Wollongong
TERINGIE 5072,Teringie,5072,South Australia,Adelaide
TERRANORA 2486,Terranora,2486,New South Wales,Gold Coast
TERREY HILLS 2084,Terrey Hills,2084,New South Wales,Sydney
TERRIGAL 2260,Terrigal,2260,New South Wales,Central Coast
TEVEN 2478,Teven,2478,New South Wales,Northern Rivers
TEWANTIN 4565,Tewantin,4565,Queensland,Sunshine Coast
THABEBAN 4670,Thabeban,4670,Queensland,Wide Bay
THE BASIN 2108,The Basin,2108,New South Wales,Sydney
THE BASIN 3154,The Basin,3154,Victoria,Melbourne
THE COMMON 4701,The Common,4701,Queensland,Capricorn Coast
THE ENTRANCE 2261,The Entrance,2261,New South Wales,Central Coast
THE ENTRANCE NORTH 2261,The Entrance North,2261,New South Wales,Central Coast
THE GAP 4061,The Gap,4061,Queensland,Brisbane
THE GARDENS 0820,The Gardens,0820,Northern Territory,Remote
THE HILL 2300,The Hill,2300,New South Wales,Newcastle
THE JUNCTION 2291,The Junction,2291,New South Wales,Newcastle
THE LEAP 4740,The Leap,4740,Queensland,Mackay
THE LEVELS 5095,The Levels,5095,South Australia,Adelaide
THE NARROWS 0820,The Narrows,0820,Northern Territory,Remote
THE PONDS 2769,The Ponds,2769,New South Wales,Sydney
THE RANGE 4700,The Range,4700,Queensland,Capricorn Coast
THE ROCKS 2000,The Rocks,2000,New South Wales,Sydney
THE SPECTACLES 6167,The Spectacles,6167,Western Australia,Perth
THE SUMMIT 4377,The Summit,4377,Queensland,Toowoomba
THE UNIVERSITY OF ADELAIDE 5005,The University Of Adelaide,5005,South Australia,Adelaide
THE UNIVERSITY OF SYDNEY 2006,The University Of Sydney,2006,New South Wales,Sydney
THE VINES 6069,The Vines,6069,Western Australia,Perth
THEBARTON 5031,Thebarton,5031,South Australia,Adelaide
THEODORE 2905,Theodore,2905,Australian Capital Territory,Canberra
THIRLMERE 2572,Thirlmere,2572,New South Wales,Wollongong
THIRLSTANE 7307,Thirlstane,7307,Tasmania,Launceston
THIRROUL 2515,Thirroul,2515,New South Wales,Wollongong
THOMASTOWN 3074,Thomastown,3074,Victoria,Melbourne
THOMSON 3219,Thomson,3219,Victoria,Geelong
THOOPARA 4800,Thoopara,4800,Queensland,Mackay
THORNBURY 3071,Thornbury,3071,Victoria,Melbourne
THORNDALE 4380,Thorndale,4380,Queensland,Toowoomba
THORNESIDE 4158,Thorneside,4158,Queensland,Brisbane
THORNGATE 5082,Thorngate,5082,South Australia,Adelaide
THORNLANDS 4164,Thornlands,4164,Queensland,Brisbane
THORNLEIGH 2120,Thornleigh,2120,New South Wales,Sydney
THORNLIE 6108,Thornlie,6108,Western Australia,Perth
THORNTON 2322,Thornton,2322,New South Wales,Newcastle
THRUMSTER 2444,Thrumster,2444,New South Wales,Port Macquarie
THULIMBAH 4376,Thulimbah,4376,Queensland,Toowoomba
THURGOONA 2640,Thurgoona,2640,New South Wales,Albury
THURINGOWA CENTRAL 4817,Thuringowa Central,4817,Queensland,Townsville
THURINGOWA DC 4814,Thuringowa DC,4814,Queensland,Townsville
TIGHES HILL 2297,Tighes Hill,2297,New South Wales,Newcastle
TILLIGERRY CREEK 2319,Tilligerry Creek,2319,New South Wales,Newcastle
TIMMERING 3561,Timmering,3561,Victoria,Bendigo
TINANA 4650,Tinana,4650,Queensland,Wide Bay
TINBEERWAH 4563,Tinbeerwah,4563,Queensland,Sunshine Coast
TINGALPA 4173,Tingalpa,4173,Queensland,Brisbane
TINGALPA BC 4173,Tingalpa Bc,4173,Queensland,Brisbane
TINGALPA DC 4173,Tingalpa Dc,4173,Queensland,Brisbane
TINGIRA HEIGHTS 2290,Tingira Heights,2290,New South Wales,Newcastle
TINONEE 2430,Tinonee,2430,New South Wales,Port Macquarie
TINTENBAR 2478,Tintenbar,2478,New South Wales,Northern Rivers
TIVENDALE 0822,Tivendale,0822,Northern Territory,Remote
TIVOLI 4305,Tivoli,4305,Queensland,Brisbane
TIWI 0810,Tiwi,0810,Northern Territory,Remote
TOLGA 4882,Tolga,4882,Queensland,Cairns
TOLL 4820,Toll,4820,Queensland,Townsville
TOLLAND 2650,Tolland,2650,New South Wales,Albury
TOLMANS HILL 7007,Tolmans Hill,7007,Tasmania,Hobart
TOMAGO 2322,Tomago,2322,New South Wales,Newcastle
TONGALA 3621,Tongala,3621,Victoria,Bendigo
TONGARRA 2527,Tongarra,2527,New South Wales,Wollongong
TOOBANNA 4850,Toobanna,4850,Queensland,Townsville
TOOGOOM 4655,Toogoom,4655,Queensland,Wide Bay
TOOLAKEA 4818,Toolakea,4818,Queensland,Townsville
TOOLERN VALE 3337,Toolern Vale,3337,Victoria,Melbourne
